industries_id,industries
0,"Transporte, logística, cadena de suministro y almacenamiento"
1,"Tecnología, información e internet"
2,"Servicios de alimentos y bebidas, Fabricación de alimentos y bebidas y Manufactura"
3,Servicios públicos
4,Organizaciones comunitarias y sociales
5,Fabricación de productos químicos
6,Venta al por mayor
7,Servicios de alimentos y bebidas
8,Servicios de TI y consultoría de TI
9,Asesoría y servicios empresariales
10,Servicios de recursos humanos
11,Sector inmobiliario
12,Petróleo y gas
13,Hospitales y atención sanitaria
14,Dotación y selección de personal
15,Servicios profesionales
16,Fabricación de tabaco y Manufactura
17,Servicios financieros
18,"Servicios de alimentos y bebidas, Fabricación de productos químicos y Fabricación de alimentos y bebidas"
19,Fabricación de equipos informáticos
20,
21,Seguros y Servicios financieros
22,Contabilidad
23,Publicaciones en línea
24,Servicios de TI y consultoría de TI y Servicios financieros
25,Proveedores de e-learning
26,Servicios para el individuo y la familia
27,"Servicios de TI y consultoría de TI, Seguros y Servicios financieros"
28,Proveedores de entretenimiento
29,Desarrollo de software y Protección civil
30,Desarrollo de software
31,Telecomunicaciones
32,Servicios y tecnologías de la información
33,"Servicios de TI y consultoría de TI, Desarrollo de software y Seguridad de redes y sistemas informáticos"
34,Fabricación de productos farmacéuticos
35,Servicios de TI y consultoría de TI y Fabricación de productos farmacéuticos
36,Servicios de publicidad
37,"Venta al por mayor, Comestibles para la venta minorista y Venta minorista"
38,Business Consulting and Services
39,IT Services and IT Consulting
40,Financial Services
41,Staffing and Recruiting
42,Motor Vehicle Manufacturing
43,Telecommunications and Computers and Electronics Manufacturing
44,Broadcast Media Production and Distribution
45,"Appliances, Electrical, and Electronics Manufacturing"
46,"Retail, Travel Arrangements, and Retail Luxury Goods and Jewelry"
47,E-Learning Providers
48,"Online Audio and Video Media, Book and Periodical Publishing, and Technology, Information and Internet"
49,Seguridad e investigaciones
50,Comestibles para la venta minorista
51,Organización de viajes
52,Fabricación de productos para agricultura
53,Seguros
54,Serviços de alimentos e bebidas
55,Varejo
56,Fabricação de componentes de aviação e aeroespaciais
57,"Tecnologia, Informação e Internet"
58,Serviços financeiros
59,Serviços públicos
60,Transporte por caminhão
61,Serviços e consultoria de TI
62,Atendimento ao consumidor
63,Segurança de redes e computadores
64,Bancos
65,Serviços de informação
66,"Transporte, Logística, Cadeia de Suprimentos e Armazenamento"
67,Serviços profissionais
68,Publicação na Internet
69,Serviços de recursos humanos
70,Serviços de publicidade
71,"Food and Beverage Services, Retail, and Hospitality"
72,Manufacturing
73,"IT Services and IT Consulting, Software Development, and Computer and Network Security"
74,Retail
75,"IT Services and IT Consulting, Software Development, and Business Consulting and Services"
76,Government Administration
77,"Technology, Information and Internet"
78,Leasing Non-residential Real Estate
79,Fabricación de vehículos motorizados
80,Food and Beverage Services
81,Hostelería
82,Internet Publishing
83,"Information Services, Software Development, and Education Administration Programs"
84,Fabricação de alimentos e bebidas
85,Administração pública
86,Recrutamento e seleção
87,Serviços de bem-estar e condicionamento físico
88,Agricultura
89,"Fabricação de produtos químicos, Pesquisa biotecnológica e Fabricação de produtos farmacêuticos"
90,Fabricação de aparelhos elétricos e eletrônicos
91,Fabricação de máquinas de automação
92,Indústria automotiva
93,"Serviços de publicidade, Pesquisa biotecnológica e Hospitais e atendimento à saúde"
94,Consultoria e serviços empresariais
95,Músicos
96,Fabricação de produtos de higiene pessoal
97,Programas de administração educacional
98,Desenvolvimento de software
99,Serviços ambientais
100,Produtos de computação em rede
101,Tecnologia da informação e serviços
102,Seguros e Serviços financeiros
103,Pecuária
104,"Serviços e consultoria de TI, Programas de administração educacional e Serviços financeiros"
105,Transporte ferroviário
106,"Serviços e consultoria de TI e Transporte, Logística, Cadeia de Suprimentos e Armazenamento"
107,Serviços de relações públicas e comunicação
108,Telecomunicações
109,"Engenharia mecânica ou industrial, Serviços ambientais e Tecnologia da informação e serviços"
110,"Serviços de alimentos e bebidas, Fabricação de alimentos e bebidas e Manufatura"
111,Petróleo e gás
112,Bancos de investimento
113,Desenvolvimento de software e Administração de serviços
114,Fabricação de produtos químicos e Fabricação de produtos farmacêuticos
