job_id,country,title,company,onsite_remote,description,posted_date,link,seniority_level,employment_type,job_function,industries
0,0,Data Analyst,0,1,"Job SummaryWe are looking for a Data Analyst that will work on extracting, creating, and analyzing information to get insights and behavioral patterns to provide actionable recommendations to improve the business. We are a product-centered company and all of our teams rely heavily on data to drive product development and decision-making.ImportantExpert in Tableau and SQLJABU Business Analytics Program (BAP)Jabu opens hub in LATAM and launches the Jabu Business Analytics Program. Located in Buenos Aires, the Jabu Business Analytics Hub will support the global growth and expansion strategies.We are looking for talented and driven Business and Data Analysts for the Jabu Business Analytics Program team. These are important roles that will contribute to the success of the business by enabling critical reporting, deep dive and data support for the growth and associated teams.Joining the team means partnering with a dynamic and creative group with a high bar for innovation and success in a fast-paced and changing environment.Jabu, southern Africa’s fastest growing e-commerce for small retailers is powering the way in which shop-owners, source and stock their products, and executing the last-mile of distribution for FMCG brands.Qualifications (Knowledge, Skills & Abilities)Looking for the opportunity to have a big impact at an early company.Be part of the decision process of establishing KPIs from a range of sources to measure the effectiveness of business decisions.Define data flow architecture and support their implementation.Create dashboards and reports based on your analysis of daily traffic flows, then transform those into key insights.Share and communicate the results of your analysis with relevant members of the organizationBuilding a deep understanding of data and pipelines.Advise on data architecture, identifying opportunities to better link our various data sources.Work closely with business areas to identify opportunities and ensure the strategy is aligned to the needs of the business.Understanding how to combine quantitative and qualitative insights in order to build a holistic picture that is closer to ground truth.Experience collaborating with a team of programmers and analysts made up of varying skill setsLooking for the opportunity to have a big impact at an early company.Use Jabu products to obtain data.Education And / Or ExperienceA strong analyst with at least 3 years of experience in growth-oriented data analysis.A graduate with a degree in data science, mathematics, statistics, or an IT-related background.Knowledgeable about gathering, cleaning, and transforming large data sets.Business-oriented, with great documentation skills, an inclination for problem-solving, high attention to detail – and equipped with excellent written and verbal communication skills.Solving problems and identifying business opportunities using data: analyzing the problem and breaking it down into various analytical components.Experience in logistics startups or companies (appreciated)",2022-12-27,https://ar.linkedin.com/jobs/view/data-analyst-at-jabu-3409099638?refId=wm%2BUlnWXTXg3Vw9ORWTBkg%3D%3D&trackingId=ZijVuO%2Bd3BrkLqgnVIlC5A%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,Sin experiencia,Jornada completa,Tecnología de la información,0.0
1,0,Data Analyst,1,1,"If you are passionate about data, and you clearly visualize the business story and enjoy crafting intelligence reports that drive today's successful businesses, then we want to speak with you!The Level Access Accessibility Product Team places an emphasis on meaningful experiences that result in a phenomenal work environment that fosters success for all our employees.Traits And ExperiencesYou are a mix of data analyst, business analyst, analytics translator, visual presenter, and data artist, who is equally at home discussing business use cases with project owners and talking shop with the product and development team. You're deeply driven about accelerating growth through data-driven decision support across all our business functions.Through a combination of outstanding analytical and storytelling skills you'll help us better understand the value we deliver to our customers and partners, and drive key decisions that will craft the future of LAWe are a software company that is driven toward digital inclusion and accessibility for people with disabilities. Your role as a data analyst, will impact positively, enabling a better digital environment for all.Objectives And ResponsibilitiesPartnerPartner with product management and engineering to understand product instrumentation needs for insights and analyticsPartner with our outstanding product team and senior leadership, to understand their objectives and build data product experiences. Offering practical insights, that illuminate and accurately steer product direction, roadmaps, documentation efforts, training content, growth goals and retention strategiesPartner with product management and engineering to understand product instrumentation needs for insights and analyticsBuildProduce insights (e.g., performance drivers, retention analysis, behavioural personas) to accelerate adoption and business growth, and illuminate product strategyBuild, deploy, and/or maintain data management systems and back-end data infrastructure for our business intelligence pipelineBuild data visualisations; reports, dashboards, and data auditsDesign and build scalable data models to optimise internal and customer experiencesDesign and build a dashboard / real-time reports to gauge and monitor rapid growth patterns. Design and drive to deliver a process and data strategy for ongoing product usage analyticsDesign and implement repeatable frameworks to measure the impact of releases and experiments. This will include upcoming releases, product leadership decision support by providing periodical data driven visualization. Develop a framework for data maintenance for business reporting. Communicate, design / build a reporting repository to be consumed and used on a periodic basis by the Product teamTake full advantage of off-the-shelf as well as in-house technologies to build a best-in-class data management and presentation pipelineInfluenceInfluence and promote solid foundational data practices through demonstrated expertise and excellent knowledge with transfer management, through mentorship and applying your Domain Expertise, to all Product team membersBring intelligence to customer data through the power of: structured data (workflow state evolution, database tables), unstructured data (utterances, descriptions, documents, etc.) adapting to their outstanding, often sophisticated configurations and working at scale. Ability to see the story behind the data and work with product managers to craft effective narratives about our value that we're creating for our customers with our productsPassionate about automating data analysis, business intelligence and a drive to grow beyond BI as we grow into a significantly data driven future together.",2022-12-07,https://ar.linkedin.com/jobs/view/data-analyst-at-level-access-3417641118?refId=wm%2BUlnWXTXg3Vw9ORWTBkg%3D%3D&trackingId=1XAR9VvM5K9t%2FQWDKR8JnA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Sin experiencia,Jornada completa,Tecnología de la información,1.0
2,0,Pricing & Data Analyst,2,1,"About The JobAl asumir la posición de Pricing & Data Analyst para Lacteos tendrás el desafío de….Colaborar con la digitalizacion y ser referente en la automatizacion de procesos en el area de Pricing. Trabajar en el armado de las listas de precio a nivel nacional como así manejar grandes volumenes de bases de datos.Hacer seguimiento semanal del mercado para el equipo y proponer soluciones para el negocio.Armar y análizar dashboards e implementar estrategias para el area. About youREQUISITOSFormación Académica Graduados o estudiantes avanzados en ingenieria, contador, economia o carreras a fines2 años de experiencia en posiciones similares en el area de pricingNivel de Excel Avanzado.Manejo de base de datos AvanzadoBuscamos a alguien apasionado por los datos, proactivo, organizado y resiliente. About us""Danone es una empresa única, con una cultura enriquecedora, un ADN que nos distingue, fuertes raíces, grandes valores y una misión desafiante.En la unidad de negocios de lácteos y productos de base vegetal trabajamos todos los días con un único propósito entusiasmar a los argentinos a mejorar su alimentación, ofreciendo todos los días propuestas más saludables, tentadoras e innovadoras. Esta misión nos obliga a tener equipos flexibles, ágiles y resilientes, en permanente búsqueda de la creatividad e innovación.Sobre todas las cosas, en EDP somos amantes de nuestros productos ¿Querés conocerlos? Esencialidad, es la categoría que comprende los alimentos básicos de la nutrición diaria de los argentinos, con marcas como Danonino, Ser ,Yogurísimo y Gran Compra. Además, contamos con CasanCrem, un gran aliado en la cocina que ofrece versatilidad para hacer tus comidas más livianas. Nueva Salud, donde nos encontramos con Silk, que nos pone en la vanguardia de los alimentos de origen vegetal. Por otro lado, Actimel y Activia quienes nos brindan beneficios específicos para la salud. Por último tenemos a YoPro, rico en proteínas, especialmente pensado para los deportistas. Indulgencia, en donde lo irresistible se hace presente Cindor, Serenito y Danette son algunas de nuestras marcas.Buscamos a personas visionarias, las que se desafían para empujar a otros a desafiarse. Aquellas que saben bien que sólo animándose se puede cambiar, y tienen la convicción de que la salud es pasión. Es momento de cambiar el juego. ¿Te querés sumar?En Danone valoramos la diversidad y fomentamos la inclusión, reconociendo, respetando y aprovechando las diferentes opiniones, perspectivas y características, alentando a los Danoners, a ser su mejor versión. Todas las decisiones relacionadas con el reclutamiento, contratación, promoción, compensación, decisiones de desarrollo de los empleados como capacitación y todos los otros términos y condiciones del empleo, se tomarán sin importar la edad, etnia, color, género, origen nacional, religión, discapacidad, orientación sexual, identidad o expresión de género.¡POSTULATE!",2023-01-05,https://ar.linkedin.com/jobs/view/pricing-data-analyst-at-danone-3426441397?refId=wm%2BUlnWXTXg3Vw9ORWTBkg%3D%3D&trackingId=J5iogKGjVdS6Z4vIRdfL2w%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,No corresponde,Jornada completa,Tecnología de la información,2.0
3,0,Jr. Master Data Analyst,3,1,"En AES, elevamos la calidad de vida en todo el mundo cambiando la forma en la que la energía funciona. Todos tienen un impacto cada día en nuestros equipos pequeños y globales. Postúlese aquí para iniciar una extraordinaria carrera hoy mismo. En AES, elevamos la calidad de vida en todo el mundo cambiando la forma en la que la energía funciona. Todos/as tienen un impacto cada día en nuestros equipos pequeños y globales. Postúlese aquí para iniciar una extraordinaria carrera hoy mismo. Estamos buscando un/a Jr. Master Data Analyst para sumarse a nuestro equipo de AES Argentina.Responsabilidades Principales Administración de datos maestros. Velar por el cumplimiento de controles. Preparación y controles de auditorías. Manejo y verificación de documentación y datos. Interacción con distintos proveedores y áreas. Responsable de gestionar preguntas y consultas referentes al área. Manejo diario de SAP y Excel.Requisitos Estudiante avanzado de Administración, Contador Público o carrera afín. (Excluyente) Experiencia de 2 años en posiciones similares. (Deseable) Manejo de SAP (Deseable) Conocimiento avanzado de todas las herramientas Microsoft Office. Inglés avanzado (Excluyente) Trabajo en equipo y responsabilidad. Buenas relaciones interpersonales.Mejoramos la vida de más de 10+ millones de personas a través de la entrega segura y confiable de energía. Uno de cada tres hogares se iluminan con nuestro trabajo. Mejoramos la vida de más de 10+ millones de personas a través de la entrega segura y confiable de energía. Uno de cada tres hogares se iluminan con nuestro trabajo.",2022-12-19,https://ar.linkedin.com/jobs/view/jr-master-data-analyst-at-the-aes-corporation-3406690755?refId=wm%2BUlnWXTXg3Vw9ORWTBkg%3D%3D&trackingId=NF0Nq9fwq6AIneLKX1SK%2Bw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Intermedio,Jornada completa,Tecnología de la información,3.0
4,0,Digital  Data Analyst,4,1,"ENTORNO Y OBJETIVO GENERAL DEL PUESTO:Como parte de sus objetivos, MSF LAT lleva a cabo acciones de difusión proactivas a través de su departamento de Comunicación, desde una perspectiva regional, en los diferentes países de América del Sur de habla hispana, con el objetivo de incrementar el conocimiento sobre el trabajo y los valores de la organización, así como alertar y movilizar sobre las crisis humanitarias en las que interviene. A su vez, el departamento de Fundraising desarrolla acciones de recaudación de fondos en Argentina, Uruguay, Colombia y próximamente Chile, los cuales están destinados a financiar las intervenciones de MSF alrededor del mundo. La Unidad Digital de MSF LAT reúne a integrantes de ambos departamentos, localizados en Buenos Aires y Bogotá, que se especializan en ejecutar distintas acciones a través de los activos digitales de la organización: sus sitios web - para Argentina, Colombia, Uruguay; y próximamente también para Chile - y sus distintos canales digitales de carácter regional -Instagram, Facebook y Twitter; próximamente también Linkedin, Tik Tok y Youtube. Su objetivo es contribuir a potenciar la calidad y el impacto del engagement digital de MSF LAT con sus audiencias regionales, maximizar la consecución de donantes y dar soporte a distintas estrategias de reclutamiento. La Unidad trabaja además con las distintas áreas de la organización ayudando a identificar oportunidades y estrategias en las que los recursos digitales puedan ayudarlos a alcanzar sus objetivos. La persona que desempeñe el rol de Data Analyst formará parte de la Unidad Digital de MSF LAT. El Responsable de la Unidad Digital supervisará y orientará sus funciones, y trabajará además en estrecha sinergia con el Técnico de Campañas Digitales, a la vez que transversalmente con el resto del equipo de la Unidad Digital. El objetivo del puesto es recolectar, interpretar, analizar y procesar los datos, con el objetivo de transformarlos en insights relevantes para tomar decisiones, establecer patrones en el comportamiento de las audiencias, hacer más eficientes y efectivas las estrategias de marketing digital (campañas pagas y contenidos orgánicos), lograr una mejora en la experiencia de uso de las webs, e impulsar los proyectos digitales con el fin de impactar positivamente en los resultados. La persona elegida, tendrá sinergias con los equipos de toda la oficina: Campañas y Eventos de Comunicación, Adquisición de donantes masivos, Fidelización y Colaboraciones Estratégicas de Fundraising, IT y reclutamiento de Recursos Humanos. Su enfoque a la hora de encarar los proyectos será regional, como la transversalidad del impacto de las acciones que se dan en plataformas digitales. Mediante estas acciones, será capaz de generar el conocimiento necesario para llevar a cabo campañas de distinta índole de la manera más efectiva y eficiente, generando la documentación para un correcto reporte; respetando siempre los parámetros normativos de la organización y los protocolos internos de validación de las distintas acciones. RESPONSABILIDADES Y FUNCIONES PRINCIPALES: ANÁLISIS DE DATOS:Explorar y analizar los datos de los que dispone la organización de las diferentes plataformas de campañas pagas, contenidos orgánicos, CRM y métricas webs para identificar correlaciones y descubrir tendencias.Elaborar dashboards para la visualización de datos utilizando diferentes herramientas de reporting (Power BI y Looker studio), para ayudar a tomar mejores decisiones al momento de optimizar campañas y crear nuevas estrategias.Realizar investigaciones de mercado digitales, donde se analice la audiencia de las diferentes plataformas de la organización (Facebook, Instagram, Google, webs, CRM y próximamente TikTok), se investigue a la competencia directa e indirecta, y se descubran nuevas tendencias, logrando hallazgos importantes para nuevas estrategias en diferentes campañas digitales tanto pagas como orgánicas. GENERACIÓN DE REPORTES:Elaborar informes finales de campañas pagas o estrategias orgánicas donde se muestren los resultados obtenidos, los aprendizajes y buenas prácticas para informar a las personas vinculadas a las distintas acciones digitales.Realizar seguimiento a los indicadores (KPIs) del canal digital para el Cuadro de Mandos, los distintos reportes de performance existentes, y para otros análisis que puedan ser requeridos.Implementar diversas técnicas de medición para descifrar la efectividad de los formularios y para proponer desarrollos orientados a mejorar la experiencia de usuario.Dar seguimiento diario de la performance de las campañas digitales de adquisición.Preparar presentaciones informativas y procesables sobre hallazgos y recomendaciones. ESTRATEGIA:Brindar soporte a necesidades de implementación de informes al resto de las áreas de MSF LAT, según requerimientos.Proponer nuevas ideas para recopilar la información de manera eficiente.Generación de hipótesis y experimentos para la mejora continua del performance y reducción de costes de las diferentes campañas pagas.Contribuir a la mejora continua de los distintos formularios de las webs teniendo en cuenta su rendimiento (% de conversión), en términos de experiencia de usuario y analítica web. ACTIVIDADES DE NETWORKING:Participar en la dinámica de trabajo del servicio web y para la puesta en común de las acciones online de las distintas áreas de la organización.Participar en actividades de networking Internacional de los Working Groups de MSF Internacional, involucrándose en la generación y puesta en común de los contenidos, y generando un intercambio de ideas y experiencias.Comunicar y realizar un seguimiento de las métricas de rendimiento clave en todos los departamentos que tengan campañas digitales pagas o contenidos orgánicos.  FORMACIÓN Y EXPERIENCIA:Profesional en Estadística, Marketing, Administración o carreras afines.Experiencia mínima de 2 años en análisis avanzado, depuración, modelaje y visualización de datos.Manejo de Excel avanzado, Access, Power BI y Looker Studio (ex Google Data Studio).Conocimiento avanzado en Google Analytics.Conocimiento en investigación de audiencias y herramientas de pauta publicitaria digital y redes sociales.Muy buen nivel de inglés.  SE VALORARÁ MUY POSITIVAMENTE:Manejo de SQL.Conocimientos de WordPress.Conocimientos de manejo de CRM’s.Conocimientos de Google Tag Manager.Gran capacidad para solucionar problemas de datos.Interés por nuevas tendencias de uso y plataformas digitales.Experiencia y/o motivación por el trabajo de las ONG y en particular por la acción humanitaria. CONDICIONES:Localización: basado en las oficinas de Buenos Aires, Bogotá o Montevideo.Puesto FULL-TIME. Contrato regido por la legislación del país en el que esté basada la posición.Condiciones laborales y nivel salarial de acuerdo con las políticas RRHH MSF y a la tabla salarial de MSF en el país en el que esté basada la posición.Incorporación: Inmediata. Solicitud:Los interesados deberán enviar su CV y carta de motivación incluyendo remuneración pretendida (excluyente).Se recibirán candidaturas hasta el 23 de Enero. Solo se responderán las candidaturas seleccionadas.",2023-01-03,https://ar.linkedin.com/jobs/view/digital-data-analyst-at-m%C3%A9dicos-sin-fronteras-latinoam%C3%A9rica-3424554780?refId=wm%2BUlnWXTXg3Vw9ORWTBkg%3D%3D&trackingId=fxjSNwbUhdjRTfJ7xK8J5Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Intermedio,Jornada completa,Tecnología de la información,4.0
5,0,Global Data Analyst,5,1,"Join us and celebrate the beauty of human experience. Create for happier, healthier lives, with love for nature. Together, with kindness and humility, we deliver food innovations, craft inspired fragrances and develop beauty and wellbeing solutions that make people look and feel good. There’s much to learn and many to learn from, with more than 16,800 employees around the world to explore ideas and ambitions with. Dive into varied, flexible, and stimulating environments. Meet empowered professionals to partner with, befriend, and stretch your skills alongside. Every day, your energy, your creativity, and your determination will shape our future, making a positive difference on billions of people. Every essence of you enriches our world. We are Givaudan. Human by nature.Givaudan is a global leading company in taste and wellbeing, fragrance, and beauty. With its heritage stretching back over 250 years, the company has a long history of innovating scents and tastes. From a favorite drink to your daily meal, from prestige perfumes to cosmetics and laundry care, its creations inspire emotions and delight millions of consumers the world over. The company is committed to driving purpose-led. long-term growth while leading the way to improve happiness and health for people and nature. In the fiscal year 2020, the Company employed over 15,800 people worldwide and achieved sales of CHF 6,3 billion and a free cash flow of 12,8% of sales. Let's imagine together on www.givaudan.comThe Global Data Analyst, who is part of the Global Analytics team, is extracting, analyzing, and mass-loading master data in our core systems. He/she is supporting various projects with analysis, extractions, and data migration activities.You will:Advanced Analytics  Data analysis of large data sets using state-oft he-art methods and tools to identify business rules and continuous improvement opportunities Processing, cleansing, and verifying the integrity of large data sets used for analysis Doing ad-hoc analysis and presenting results in a clear manner Enhancing data collection procedures to include informationETL (Extraction, Transformation, Load) Drive data mapping activities to support Migration projects and/or Acquisition projects Handling of service requests, execution of reports, and mass uploads Set up mass uploads, reports, and measurements for repetitive execution while ensuring the highest level of data integrity at the global levelProject Management Work alone comfortably Contribute to end MD Projects & Change Requests Actively participate in projects, including continuous improvements, design, data migration/ requirements/processes Support MD Champions with all kinds of analysis and process implementations Perform root-cause analysis, data quality analysis, impact analysis, measurements, and feasibility studies Review of data service requests from businesses to clarify and ensure global consistencyPeople and collaboration Provide professional support for Junior colleagues Act as the contact person for key internal and external stakeholders for operational topics Builds constructive and effective relationships with cross-functional teams and stakeholders Communicate effectively with internal and external partners by phone or via emailYou are:You have a college or university degreeYou are fluent in EnglishYou have 1+ years of relevant experience in a function-specific role or equivalent. You have a good working knowledge of SAP or other ERP systemsYou have advanced MS Excel knowledge and good knowledge of Microsoft Office or equivalent toolStrong numeracy and administration skillsOur Benefits:Flexible work arrangements (possibility to work from home 4 times/week)Competitive benefits packageLong-term career development opportunitiesIn case you are interested, please apply with your English CV.Givaudan is an Equal Employment Opportunity Employer M/F/D/V.At Givaudan, you contribute to delightful taste and scent experiences that touch people's lives. You work within an inspiring team culture – where you can thrive, collaborate and learn from other talented and passionate people across disciplines, regions, and divisions. Join us and Impact Your World!Diversity drives innovation and creates closer connections with our employees, customers, and partners. Givaudan embraces diversity and is committed to building an inclusive environment where everyone impacts our world.At Givaudan, you contribute to delightful taste and scent experiences that touch people’s lives.You work within an inspiring teamwork culture – where you can thrive, collaborate and learn from other talented and passionate people across disciplines, regions and divisions.Every essence of you enriches our world.Diversity drives innovation and creates closer connections with our employees, customers and partners.Givaudan embraces diversity and is committed to building an inclusive environment where everyone impacts our world.",2022-12-25,https://ar.linkedin.com/jobs/view/global-data-analyst-at-givaudan-3225664153?refId=wm%2BUlnWXTXg3Vw9ORWTBkg%3D%3D&trackingId=b8GTtPYebvXK6y6w2BKUvA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,No corresponde,Jornada completa,Tecnología de la información,5.0
6,0,analista de datos,6,1,"Nini Mayorista incorpora a su equipo perfil con experiencia de al menos 1 año ejerciendo la labor como analista de datos o analista de información.Las principales responsabilidades para quien ocupe la posición serán:Extraer, explorar y manipular grandes volúmenes de datos.Interpretar resultados, simplificarlos y sintetizarlos para luego transmitirlos al negocio, elaborando reportes de gestión para la toma de decisionesDiseñar y mantener tableros de control, cuadros de mando y otros reportes, a partir de los datos recabados en los sistemas de la compañía. Esos reportes deben permitir entender la información de forma rápida y fácil, proporcionando una visión estándar, medible y unificada del proyecto.Detectar nuevas oportunidades y/o mejoras de negocio basadas en datos.Detectar y proponer nuevas metodologías, herramientas y modelos que promuevan la innovación en Ciencia de Datos.Asistir al negocio frente a problemáticas que requieran soluciones basadas en datos.Son RequisitosEstudiante de Administración de Empresas, Sistemas de Información, Marketing o afín.Excel AvanzadoConocimientos de herramientas BI (Microstrategy, BusinessObjects BI, Power BI, etc.)Experiencia en la gestión de altos volúmenes de datos.Resolución, autogestión y análisis serán competencias valoradas en el perfil seleccionado",2022-12-05,https://ar.linkedin.com/jobs/view/analista-de-datos-at-nini-mayorista-3420341057?refId=wm%2BUlnWXTXg3Vw9ORWTBkg%3D%3D&trackingId=lc1TJVgFtqF8PnqGp57I1Q%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Sin experiencia,Jornada completa,Tecnología de la información,6.0
7,0,Analista de Datos,7,1,"En Megatlon nos encontramos en la búsqueda de un Analista de Planificación ComercialRequisitos Graduado o estudiante avanzado próximo a recibirse de las carreras sistemas, administración de empresas o afines Experiencia mínima de 2 años en área de inteligencia comercial y planificación de negocio de servicios Experiencia en la creación de KPI's para el control y seguimiento de la gestiónRequisitos tecnológicosExcel avanzado (excluyente)Conocimiento en Power Bi o TableauConocimiento en lenguaje DAXDeseable conocimiento en power query y lenguaje MConocimiento de fundamentos de bases de datos.Deseable SAP y QVCompetencias requeridas Proactivo, capacidad resolutiva, excelente manejo de relaciones interpersonales y capacidad de autocorrecciónBeneficios Muy buenas posibilidades de desarrollo Integrarte a una compañía en pleno proceso de expansiónEncontrá el trabajo que buscás en la mayor red de gimnasios del país y formá parte de nuestro equipo de profesionales.Si sos dinámico, tenés vocación de servicio y pasión para lograr tus metas, podés unirte a nuestro Staff",2022-12-12,https://ar.linkedin.com/jobs/view/analista-de-datos-at-megatlon-3389942794?refId=wm%2BUlnWXTXg3Vw9ORWTBkg%3D%3D&trackingId=ze1pFzVPje5DpYncaSIFew%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Intermedio,Jornada completa,Tecnología de la información,6.0
8,0,Data Analyst Sr - Science,8,1,"Job DescriptionEn Cervecería y Maltería Quilmes nos encontramos en la búsqueda de personas dinámicas que buscan desafíos constantes y sueñen en grande.Su rol principal será la exploración de datos provenientes de la aplicación B2B (BEES) de Cervecería Quilmes y la realización de análisis descriptivos, para brindar a las áreas de negocio información e insights que agreguen valor en la toma de decisiones.Responsibilities and assignmentsDescubrimiento de preguntas de negocio a resolver con análisis, testeos y modelos, identificando las necesidades de los usuarios y contribuyendo a construir un producto de datos que resuelva las mismas.Exploración de los conjuntos de datos disponibles y/o nuevas fuentes de datos, para resolver esas problemáticas.Ejecución de análisis basados en estadística descriptiva o modelos de ciencia de datos, para detectar oportunidades y patrones en los datos.Brindarle al negocio insights a partir de los datos y modelos creados.Coordinación con el negocio para la adopción de la solución brindada y el monitoreo del valor agregado.Aprender de los equipos del negocio, de la experiencia con la aplicación y con la operación de ventas, para encontrar las oportunidades de mejora y ejecutar iniciativas que mejor cubran esa necesidad.Requirements And QualificationsUniversitario completo o próximo para finalizar. Preferentemente con especialización en obtención y modelado de datos.Experiencia en posiciones similares, manejando grandes volúmenes de datos y analizándolos con técnicas estadísticas.Analítico / Orientado a resultados / Resolutivo / Organizado / Liderazgo de equipos y pares.ExcluyentesCompetencias Técnicas:Conocimiento y experiencia con lenguaje SQL, para la extracción y modelado de datos.Experiencia en manejo de datos con Python o R.ExcelHabilidades de comunicación y presentación.No ExcluyentesHerramientas de visualización (preferentemente, Power BI)Conocimientos Agile.¡Te damos la bienvenida! Somos Cervecería y Maltería QuilmesEn Argentina contamos con más de 6.000 colaboradores, que trabajamos en 10 cervecerías y plantas de elaboración de gaseosas, 2 malterías, 1 chacra de lúpulo, 1 planta de insumos, 11 centros de distribución, 9 oficinas de venta directa y una red de más de 173 distribuidores independientes.Formamos parte de Anheuser-Busch InBev, la Compañía cervecera líder en el mundo, que se conformó a través de diversas fusiones, en los últimos años, con distintas empresas como Ambev, Interbrew, Anhauser Bush, Grupo Modelo, SAB Miller, entre otras.Nuestra gente sueña en grande. Somos apasionados por lo que hacemos, y nuestro mayor objetivo es innovar en el sector de bebidas con la mayor calidad y variedad para que nuestros consumidores nos elijan y tengan la mejor experiencia de consumo.¡Nuestra cultura está enfocada en construir un ambiente inclusivo y colaborativo, en el que las personas puedan sacar lo mejor de sí mismas! Queremos seguir sumando personas comprometidas, que quieran cambiar las cosas, les guste innovar y los desafíos, y siempre vayan por más. Por eso, buscamos talentos diversos, dispuestos a construir nuestro gran propósito: Soñamos en grande para crear un futuro con mas motivos para brindar.¡Conocé nuestras búsquedas, y postulate!¡Te estamos buscando a vos!",2022-12-12,https://ar.linkedin.com/jobs/view/data-analyst-sr-science-at-cervecer%C3%ADa-y-malter%C3%ADa-quilmes-3425532334?refId=wm%2BUlnWXTXg3Vw9ORWTBkg%3D%3D&trackingId=q3tl4bfUKEMaj8qXTAbqsg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Intermedio,Jornada completa,Tecnología de la información,7.0
9,0,Analista de datos - Mix (On Site & Remoto) (1236),9,1,"¿Qué hace la compañía?Importante Grupo Bancario, que se ubica entre las 10 principales entidades del Sistema Financiero Argentino con más de 180 sucursales en todo el país. Son agentes financieros de sus respectivas provincias y líderes en depósitos y préstamos del sector privado, ofrecen productos y servicios financieros a individuos y empresas a través de múltiples canales digitales y de su amplia red de sucursales.¿Qué necesitás para ser parte del equipo?A Nivel PersonalQue cuentes con capacidad de organización y planificación de la información.Que sepas trabajar en equipo.Que seas analítico/a.Que puedas manejar grandes volúmenes de datos.A Nivel TécnicoExperiencia de 2 años o más en funciones a fines.Experiencia como Analista de datos.Experiencia con SQL y Apache Hive.¿Qué vas a hacer?Como Analista de datos, tendrás a tu cargo las siguientes responsabilidades:Relevamiento de datos y generación de documentación.Extracción, procesamiento y agrupación de datos: análisis de los mismos.Modelación de la información: datos estructurados y no estructurados.Creación de modelo final para los usuarios.Gestión de demandas con el PO y realización de informes.¿Con quién trabajarás?Serás parte del importante sector de Área de Gobierno de Datos corporativo y le darás servicio a las distintas gerencias.¿Cuándo y dónde trabajarás?Trabajarás en un esquema mixto, con algunos días de presencialidad y el resto con beneficio de Home Office. Las oficinas se encuentran en Microcentro, CABA. La franja de trabajo de referencia es de 8 horas, de lunes a viernes, de 9 a 18 hs.¿Qué ofrecen?Relación de dependencia directa.Home Office.Prepaga para grupo familiar.Adicional por el Día del Bancario.Bonificación en seguros de vida, hogar, bolso protegido, robo en cajero y en auto.Capacitaciones.Gimnasio.Kit de bienvenida.Presentes por fechas especiales.¿De qué fases consta el proceso de selección?Tendrás una primera entrevista con nuestra Recruiter, Katherine Dopta, para conocer tus experiencias laborales e intereses.Luego, tendrás el primer acercamiento con el cliente, en una entrevista con el área de RRHH propia. Y por último, una instancia técnica y gerencial.",2022-11-23,https://ar.linkedin.com/jobs/view/analista-de-datos-mix-on-site-remoto-1236-at-aliantec-3405535600?refId=wm%2BUlnWXTXg3Vw9ORWTBkg%3D%3D&trackingId=4OmejlbSZsiqPcx4NOCcaA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Sin experiencia,Jornada completa,Tecnología de la información,8.0
