title,company,description,onsite_remote,salary,location,criteria,posted_date,link
Data Analyst,Baufest,"Job DescriptionEn Baufest queremos mejorar la vida con tecnología, por lo que nos encontramos en la búsqueda de un Data Analyst para sumar a nuestro equipo con ganas de aprender las mejores prácticas y desempeñarse en un importante proyecto.Responsabilidades Análisis y Solución de Incidentes Análisis de procesos mediante consultas SQL Soporte a aplicaciones Propuestas de mejoras a procesos y aplicacionesRequisitos Principales Poseer al menos 1 año desarrollando con herramientas de ETL y/o de Reporting Experiencia en desarrollo de sentencias SQL Capacidad Analítica Capacidad de interactuar con usuariosRequisitos Deseables Conocimiento en metodologías agiles.Te Ofrecemos BAU COMPENSATIONS: Pago parcial de tu sueldo en Dólares. Ajustes trimestrales. Evaluación anual de desempeño y revisión de categorización. BAU LUNCH: Recibirás un cupón de Pedidos Ya cada viernes del mes. BAU INTERNET: Reintegro mensual parcial de tu factura. BAU ANTI-TRAFFIC: En caso de que tu contratación sea en modalidad Híbrida, tendrás opción de elegir tu rango de horario laboral mientras lo avale el proyecto. BAU UTLITIES: ¡Luego de trabajar 4 años con la misma notebook en Baufest, será tuya! BAU FAMILY: Maternidad y Paternidad. Softlanding para las madres baufesianas y Paternidad (10 días hábiles de licencia) . Flexibilidad horaria planificada; BAU HEALTH: Medicina prepaga de primer nivel para grupo familiar; Reintegro trimestrales por actividad deportiva, clases de yoga y Bienestar. BAU DAYs: Día de cumpleaños Libre BAU ACADEMY: Clases de Inglés in-company; Certificaciones y capacitaciones a cargo de Baufest; Pro Profes (días extra de estudios, premios para estudiantes Universitarios/Terciarios/Posgrados); BAU HOME: Luego de 2 años en Baufest, si tienes que cambiar tu residencia y mudarte recibirás una orden de compra para acompañarte en este gran paso. Excelente Clima Laboral ¡Estamos dentro de Ranking Great Place to Work!",Presencial,NaN,Argentina,"[{'Nivel de antigüedad': 'Sin experiencia'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Servicios de TI y consultoría de TI'}]",2022-11-23,https://ar.linkedin.com/jobs/view/data-analyst-at-baufest-3365893362?refId=HBOcuc35tdXjC1azUa3VXg%3D%3D&trackingId=elzpFsSelMTUzb0v%2BIap%2BA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Jr. Master Data Analyst,The AES Corporation,"En AES, elevamos la calidad de vida en todo el mundo cambiando la forma en la que la energía funciona. Todos tienen un impacto cada día en nuestros equipos pequeños y globales. Postúlese aquí para iniciar una extraordinaria carrera hoy mismo. En AES, elevamos la calidad de vida en todo el mundo cambiando la forma en la que la energía funciona. Todos/as tienen un impacto cada día en nuestros equipos pequeños y globales. Postúlese aquí para iniciar una extraordinaria carrera hoy mismo. Estamos buscando un/a Jr. Master Data Analyst para sumarse a nuestro equipo de AES Argentina.Responsabilidades Principales Administración de datos maestros. Velar por el cumplimiento de controles. Preparación y controles de auditorías. Manejo y verificación de documentación y datos. Interacción con distintos proveedores y áreas. Responsable de gestionar preguntas y consultas referentes al área. Manejo diario de SAP y Excel.Requisitos Estudiante avanzado de Administración, Contador Público o carrera afín. (Excluyente) Experiencia de 2 años en posiciones similares. (Deseable) Manejo de SAP (Deseable) Conocimiento avanzado de todas las herramientas Microsoft Office. Inglés avanzado (Excluyente) Trabajo en equipo y responsabilidad. Buenas relaciones interpersonales.Mejoramos la vida de más de 10+ millones de personas a través de la entrega segura y confiable de energía. Uno de cada tres hogares se iluminan con nuestro trabajo. Mejoramos la vida de más de 10+ millones de personas a través de la entrega segura y confiable de energía. Uno de cada tres hogares se iluminan con nuestro trabajo.",Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Intermedio'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Servicios públicos'}]",2022-12-19,https://ar.linkedin.com/jobs/view/jr-master-data-analyst-at-the-aes-corporation-3406690755?refId=HBOcuc35tdXjC1azUa3VXg%3D%3D&trackingId=SebOd1sT0FCH3Iyx%2BcHKxw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Level Access,"If you are passionate about data, and you clearly visualize the business story and enjoy crafting intelligence reports that drive today's successful businesses, then we want to speak with you!The Level Access Accessibility Product Team places an emphasis on meaningful experiences that result in a phenomenal work environment that fosters success for all our employees.Traits And ExperiencesYou are a mix of data analyst, business analyst, analytics translator, visual presenter, and data artist, who is equally at home discussing business use cases with project owners and talking shop with the product and development team. You're deeply driven about accelerating growth through data-driven decision support across all our business functions.Through a combination of outstanding analytical and storytelling skills you'll help us better understand the value we deliver to our customers and partners, and drive key decisions that will craft the future of LAWe are a software company that is driven toward digital inclusion and accessibility for people with disabilities. Your role as a data analyst, will impact positively, enabling a better digital environment for all.Objectives And ResponsibilitiesPartnerPartner with product management and engineering to understand product instrumentation needs for insights and analyticsPartner with our outstanding product team and senior leadership, to understand their objectives and build data product experiences. Offering practical insights, that illuminate and accurately steer product direction, roadmaps, documentation efforts, training content, growth goals and retention strategiesPartner with product management and engineering to understand product instrumentation needs for insights and analyticsBuildProduce insights (e.g., performance drivers, retention analysis, behavioural personas) to accelerate adoption and business growth, and illuminate product strategyBuild, deploy, and/or maintain data management systems and back-end data infrastructure for our business intelligence pipelineBuild data visualisations; reports, dashboards, and data auditsDesign and build scalable data models to optimise internal and customer experiencesDesign and build a dashboard / real-time reports to gauge and monitor rapid growth patterns. Design and drive to deliver a process and data strategy for ongoing product usage analyticsDesign and implement repeatable frameworks to measure the impact of releases and experiments. This will include upcoming releases, product leadership decision support by providing periodical data driven visualization. Develop a framework for data maintenance for business reporting. Communicate, design / build a reporting repository to be consumed and used on a periodic basis by the Product teamTake full advantage of off-the-shelf as well as in-house technologies to build a best-in-class data management and presentation pipelineInfluenceInfluence and promote solid foundational data practices through demonstrated expertise and excellent knowledge with transfer management, through mentorship and applying your Domain Expertise, to all Product team membersBring intelligence to customer data through the power of: structured data (workflow state evolution, database tables), unstructured data (utterances, descriptions, documents, etc.) adapting to their outstanding, often sophisticated configurations and working at scale. Ability to see the story behind the data and work with product managers to craft effective narratives about our value that we're creating for our customers with our productsPassionate about automating data analysis, business intelligence and a drive to grow beyond BI as we grow into a significantly data driven future together.",Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Sin experiencia'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Tecnología, información e internet'}]",2022-12-01,https://ar.linkedin.com/jobs/view/data-analyst-at-level-access-3380092382?refId=HBOcuc35tdXjC1azUa3VXg%3D%3D&trackingId=TKtAMPQhEV2HC%2FxZz942LQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
BI DATA ANALYST (TABLEAU) | REMOTO | ARGENTINA,Empleos IT,"Consultora especializada en Business Intelligence & Data Analitycs, busca sumar a su equipo personas proactivas, entusiastas, que les gusten los desafíos, con ganas de aportar ideas, compartir experiencias y continuar aprendiendo. Apasionados por la tecnología y el mundo de los datos.Modalidad 100% remoto.Esquema Full Time.¿Qué se necesita para la posición de BI DATA ANALYST?:Ser estudiante o graduado de carrera de Sistemas o afines.Contar con al menos 2 años de experiencia en visualización de datos y armado de tableros.Experiencia en análisis de datos.Conocimientos sólidos de bases de datos relacionales y dominio del lenguaje SQL.Experiencia en desarrollo de tableros con Tableau (excluyente).Experiencia en desarrollo de tableros con Alteryx (deseable).Experiencia en desarrollo de tableros con Qlickview (deseable).Inglés intermedio, nivel conversacional (excluyente).Soft SkillsCapacidad Analítica.Autonomía.Proactividad.Entusiasta.Buena capacidad para el trabajo en equipo.¿Qué tendrás?Día off por cumpleaños, para disfrutarlo como más te guste.Capacitaciones, para estar siempre al día.O. Social Swiss Medical.Crecimiento y desarrollo interno, para potenciar tu carrera.Revisión salarial constante, acorde a performance e inflación.Flexibilidad, para encontrar tu Work-Life Balance.Muy buen ambiente de trabajo, clave para nuestro día a día.¿Te sentís identificad@? Envianos tu CV ¡queremos conocerte!",Presencial,NaN,"Autonomous City of Buenos Aires, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Intermedio'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Investigación, Analista y Tecnología de la información'}, {'Sectores': 'Servicios de recursos humanos'}]",2022-11-29,https://ar.linkedin.com/jobs/view/bi-data-analyst-tableau-remoto-argentina-at-empleos-it-argentina-3380632353?refId=HBOcuc35tdXjC1azUa3VXg%3D%3D&trackingId=UkVY51pf97JRoH%2BeZ2Wk0w%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
analista de datos,Nini Mayorista,"Nini Mayorista incorpora a su equipo perfil con experiencia de al menos 1 año ejerciendo la labor como analista de datos o analista de información.Las principales responsabilidades para quien ocupe la posición serán:Extraer, explorar y manipular grandes volúmenes de datos.Interpretar resultados, simplificarlos y sintetizarlos para luego transmitirlos al negocio, elaborando reportes de gestión para la toma de decisionesDiseñar y mantener tableros de control, cuadros de mando y otros reportes, a partir de los datos recabados en los sistemas de la compañía. Esos reportes deben permitir entender la información de forma rápida y fácil, proporcionando una visión estándar, medible y unificada del proyecto.Detectar nuevas oportunidades y/o mejoras de negocio basadas en datos.Detectar y proponer nuevas metodologías, herramientas y modelos que promuevan la innovación en Ciencia de Datos.Asistir al negocio frente a problemáticas que requieran soluciones basadas en datos.Son RequisitosEstudiante de Administración de Empresas, Sistemas de Información, Marketing o afín.Excel AvanzadoConocimientos de herramientas BI (Microstrategy, BusinessObjects BI, Power BI, etc.)Experiencia en la gestión de altos volúmenes de datos.Resolución, autogestión y análisis serán competencias valoradas en el perfil seleccionado",Presencial,NaN,"Moreno, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Sin experiencia'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Venta al por mayor'}]",2022-10-28,https://ar.linkedin.com/jobs/view/analista-de-datos-at-nini-mayorista-3370271810?refId=HBOcuc35tdXjC1azUa3VXg%3D%3D&trackingId=oVpUsHfIsZbWS1KnbwcBoQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Global Data Analyst,Givaudan,"Join us and celebrate the beauty of human experience. Create for happier, healthier lives, with love for nature. Together, with kindness and humility, we deliver food innovations, craft inspired fragrances and develop beauty and wellbeing solutions that make people look and feel good. There’s much to learn and many to learn from, with more than 16,800 employees around the world to explore ideas and ambitions with. Dive into varied, flexible, and stimulating environments. Meet empowered professionals to partner with, befriend, and stretch your skills alongside. Every day, your energy, your creativity, and your determination will shape our future, making a positive difference on billions of people. Every essence of you enriches our world. We are Givaudan. Human by nature.Givaudan is a global leading company in taste and wellbeing, fragrance, and beauty. With its heritage stretching back over 250 years, the company has a long history of innovating scents and tastes. From a favorite drink to your daily meal, from prestige perfumes to cosmetics and laundry care, its creations inspire emotions and delight millions of consumers the world over. The company is committed to driving purpose-led. long-term growth while leading the way to improve happiness and health for people and nature. In the fiscal year 2020, the Company employed over 15,800 people worldwide and achieved sales of CHF 6,3 billion and a free cash flow of 12,8% of sales. Let's imagine together on www.givaudan.comThe Global Data Analyst, who is part of the Global Analytics team, is extracting, analyzing, and mass-loading master data in our core systems. He/she is supporting various projects with analysis, extractions, and data migration activities.You will:Advanced Analytics  Data analysis of large data sets using state-oft he-art methods and tools to identify business rules and continuous improvement opportunities Processing, cleansing, and verifying the integrity of large data sets used for analysis Doing ad-hoc analysis and presenting results in a clear manner Enhancing data collection procedures to include informationETL (Extraction, Transformation, Load) Drive data mapping activities to support Migration projects and/or Acquisition projects Handling of service requests, execution of reports, and mass uploads Set up mass uploads, reports, and measurements for repetitive execution while ensuring the highest level of data integrity at the global levelProject Management Work alone comfortably Contribute to end MD Projects & Change Requests Actively participate in projects, including continuous improvements, design, data migration/ requirements/processes Support MD Champions with all kinds of analysis and process implementations Perform root-cause analysis, data quality analysis, impact analysis, measurements, and feasibility studies Review of data service requests from businesses to clarify and ensure global consistencyPeople and collaboration Provide professional support for Junior colleagues Act as the contact person for key internal and external stakeholders for operational topics Builds constructive and effective relationships with cross-functional teams and stakeholders Communicate effectively with internal and external partners by phone or via emailYou are:You have a college or university degreeYou are fluent in EnglishYou have 1+ years of relevant experience in a function-specific role or equivalent. You have a good working knowledge of SAP or other ERP systemsYou have advanced MS Excel knowledge and good knowledge of Microsoft Office or equivalent toolStrong numeracy and administration skillsOur Benefits:Flexible work arrangements (possibility to work from home 4 times/week)Competitive benefits packageLong-term career development opportunitiesIn case you are interested, please apply with your English CV.Givaudan is an Equal Employment Opportunity Employer M/F/D/V.At Givaudan, you contribute to delightful taste and scent experiences that touch people's lives. You work within an inspiring team culture – where you can thrive, collaborate and learn from other talented and passionate people across disciplines, regions, and divisions. Join us and Impact Your World!Diversity drives innovation and creates closer connections with our employees, customers, and partners. Givaudan embraces diversity and is committed to building an inclusive environment where everyone impacts our world.At Givaudan, you contribute to delightful taste and scent experiences that touch people’s lives.You work within an inspiring teamwork culture – where you can thrive, collaborate and learn from other talented and passionate people across disciplines, regions and divisions.Every essence of you enriches our world.Diversity drives innovation and creates closer connections with our employees, customers and partners.Givaudan embraces diversity and is committed to building an inclusive environment where everyone impacts our world.",Presencial,NaN,"Martínez, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'No corresponde'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Fabricación de productos químicos'}]",2022-12-04,https://ar.linkedin.com/jobs/view/global-data-analyst-at-givaudan-3225664153?refId=HBOcuc35tdXjC1azUa3VXg%3D%3D&trackingId=h93Cfcb0G4gmFxDwNYgFZw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Clinical Data Analyst,Cognizant,"At #Cognizant, we have an ideal opportunity for you to be part of one of the largest companies in the digital industry worldwide.Ranked as Top Employers and as a Great Place to Work for millennials, we offer potential associates opportunities to be part of a very fast-moving company with an innovative entrepreneurial mindset and excellent growth trajectory. We also promote an inclusive culture where we value different perspectives.We are currently looking for professionals to work in our Clinical Data Management Team. What do we value?People with initiative and responsibility, who have good diction and excellent treatment with the client. We will assess those who have a technical profile or related experience in the role. Necessary skills and experience required:A Graduate/Post Graduate/Doctorate degree in Life sciences/ Pharmacy/Medical sciences or equivalent degreeMinimum 2 years to 6 years of experience in clinical data managementProactively communicate ownership of studiesCritical thinking to identify root causes and best solutions for data discrepancy managementConfidence to have tough conversations and make challenging decisionsEnables an environment of open and honest communication and critical thinking within DSS study teamInfluence internal team to meet timelines by holding stakeholders accountableAbility to work with different personalities to get the work doneWillingness to seek out information to accomplish goalProactive communicationResponsibility: As a Data Analyst, you’ll work on a project, with responsibility for: Perform Migrations / Set up / Close out activities apart from Study Conduct activities under supervision and quality checksTriage of Safety casesOversight of data discrepancy managementOwner of study documentation, including completeness, accuracy, and performing periodic review of eTMF/TMFResponsible for compiling HoS contentConduct the protocol amendment impact assessment and complete appropriate documentationManage migration and audit trail reportsCreate slides for study-specific EDC investigator trainingGenerate all study related reports, status updates, and carries out all study related email conversation and communication with internal stakeholders and Client.Provide study specific training to data manager (DM)Contribute to the Data Management Plan (DMP)Request DTS creation and ensure DTS finalized and complete for any LSH loadsExecute data review per IDRP (e.g. SAE reconciliation, PK reconciliation, short term-long term reconciliation)Manage table in EDC for study specific inclusion/exclusion data (SDTM related to protocol)Manage global and study-specific data entry conventionsFacilitate versioning, including Unlock/audit trail review & Archival processKnowledgeable of study protocol to provide secondary feedback to SD/DWA for consistency and completeness of clinical database/study designTimely communication with key stakeholders on issues and risks, includingBrings CDR, DWA, and SD together to discuss post-production changes when identifiedProvide critical information to PL who will communicate with study teamLog any action issues into DS Hub and resolve outstanding issues assigned to DAMange assigned activities to meet milestone datesAsk questions to get information needed to meet end goalsManage programming only changes (Move to DWA for LSH and SD for EDC when SOP and T11/12 updated)Location: Buenos Aires, Argentina. Shift: Full Time. (9 am to 6 pm)We offer OSDE for you and your primary family group, a very competitive salary, an annual bonus, and unlimited access to Udemy. There are many other benefits that we are going to share during the selection process.  Join our team!!",Presencial,NaN,"Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Sin experiencia'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información, Analista y Ciencias'}, {'Sectores': 'Servicios de TI y consultoría de TI y Fabricación de productos farmacéuticos'}]",2022-12-14,https://ar.linkedin.com/jobs/view/clinical-data-analyst-at-cognizant-3393658401?refId=HBOcuc35tdXjC1azUa3VXg%3D%3D&trackingId=NfYP2DisHHIlCtBrv1TY9w%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Analista de Datos,Megatlon,"En Megatlon nos encontramos en la búsqueda de un Analista de Planificación ComercialRequisitos Graduado o estudiante avanzado próximo a recibirse de las carreras sistemas, administración de empresas o afines Experiencia mínima de 2 años en área de inteligencia comercial y planificación de negocio de servicios Experiencia en la creación de KPI's para el control y seguimiento de la gestiónRequisitos tecnológicosExcel avanzado (excluyente)Conocimiento en Power Bi o TableauConocimiento en lenguaje DAXDeseable conocimiento en power query y lenguaje MConocimiento de fundamentos de bases de datos.Deseable SAP y QVCompetencias requeridas Proactivo, capacidad resolutiva, excelente manejo de relaciones interpersonales y capacidad de autocorrecciónBeneficios Muy buenas posibilidades de desarrollo Integrarte a una compañía en pleno proceso de expansiónEncontrá el trabajo que buscás en la mayor red de gimnasios del país y formá parte de nuestro equipo de profesionales.Si sos dinámico, tenés vocación de servicio y pasión para lograr tus metas, podés unirte a nuestro Staff",Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Intermedio'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Venta al por mayor'}]",2022-12-12,https://ar.linkedin.com/jobs/view/analista-de-datos-at-megatlon-3389942794?refId=HBOcuc35tdXjC1azUa3VXg%3D%3D&trackingId=IyMaoCWYfZDVC69pFRCEHA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Analista Datos SQL y Tableros,Educ.ar Sociedad del Estado,"Principales tareas y responsabilidades asignadas a este puesto Desarrollo de tableros a través de herramienta de BI. Actualización de tableros a través de herramientas de BI Brindar soporte a las áreas requirentes sobre el uso de las herramientas de BI. Resolver solicitudes de información con tableros, análisis SQL y/o Excel.RequisitosRequisitos Excluyentes Formación profesional de nivel terciario en Sistemas y experiencia comprobable en puestos de análisis de datos y reporting de por lo menos 1 año y/o título secundario completo y no menos de 5 años de experiencia en posición similar. Comprensión de las estructuras, categorías, propiedades y mejores prácticas de las bases de datos. Manejo y consultas de bases de datos SQL. Manejo de Excel avanzado.Requisitos Deseables Conocimientos en lenguajes de programación aplicada a datos (Python, R)Educ.ar es la sociedad del Estado del Ministerio de Educación de la Nación Argentina, referente de la transformación digital en el acceso al conocimiento.Educ.ar no discrimina por motivos de etnia, religión, color, sexo, edad, discapacidad física o mental no inhabilitante, nacionalidad, orientación sexual, identidad o expresión de género, o por ningún otro motivo cubierto por la legislación local.",Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Intermedio'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Servicios de TI y consultoría de TI'}]",2022-10-29,https://ar.linkedin.com/jobs/view/analista-datos-sql-y-tableros-at-educ-ar-sociedad-del-estado-3366326488?refId=HBOcuc35tdXjC1azUa3VXg%3D%3D&trackingId=r0RIsewGjywy23MMprb3gA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,JLL,"JLL Supports The Whole You, Personally And Professionally.Our people at JLL are shaping the future of real estate for a better world by combining world class services, advisory and technology to our clients. We are committed to hiring the best, most talented people in our industry; and we support them through professional growth, flexibility, and personalized benefits to manage life in and outside of work. Whether you’ve got deep experience in commercial real estate, skilled trades, and technology, or you’re looking to apply your relevant experience to a new industry, we empower you to shape a brighter way forward so you can thrive professionally and personally.We are currently seeking a dynamic individual for the role of DATA ANALYST to join our team:Location: Microcentro, Capital Federal, Buenos Aires. Work schedule: Monday to Friday, 9:00 am to 6:00 pm. Contract Type: Open-ended / Indefinite-term. About the position: We are looking for a Data Analyst – Data Management & Delivery who is self-starter to work in a diverse and fast-paced environment that can join our Data Management team.This role requires partnering with the broader JLL team at the country, regional and global level by utilizing in-depth knowledge of data, infrastructure, technologies and data analysis and data management experienceResponsibilities:Independently develops, executes and monitors complex data management / analytic processes to support ad hoc data and information delivery for assigned projects. Develops proficiency in multiple data management disciplines and tools to develop robust data and information management solutions. Proactively identifies opportunities to optimize the performance and efficiency of existing processes/procedures. Monitors data / information management processes to ensure data quality and consistency in support of business initiatives. Ensures proper escalation, prioritization and remediation of data quality issues. Engages with colleagues and internal customers to reverse xisting business processes and identify core business requirements for new information deliverables and data infrastructure. Consults with the business to develop documentation and communication materials to ensure accurate usage and interpretation of JLL data. Identifies and acquires new data sources, performs data discovery to understand data values and relationships, and develops prototype solutions to deliver immediate business value. This position involves updating the bases and global systems of all information and invoice processing. Collects and manages the necessary information to carry out the control panel: KPILeads the assembly of the Annual Operating Plan (AOP) of the costumer, reconciling historical and projected information. Requirements:3 years of work experience in the fields of Information Science, data management and/or computer science or Economics. Bachelor’s degree in Information Science, Computer Science, Mathematics, Statistics or a quantitative discipline in Science, Business, or Social Science. Advanced degree preferred. Must have strong SQL skills. Knowledge of ETL and statistical tools such as Informatica, SSIS and other data science tools such as Python, R, Tableau are desirableExperience with data architecture, data integration/ETL, data warehousing, and/or business intelligence deployed in a complex environment. Understanding of data and systems engineering concepts to effectively integrate and analyse data to develop actionable business information deliverables. Able to think logically, organize work flows efficiently, and solve problems independently. Reliable, self-motivated, and self-disciplined individual capable of planning and executing multiple projects simultaneously within a fast paced environment. Capability to self-learn new software applications and programming languages. Effective written and verbal communication skills, including technical writing. Excellent technical, analytical and organizational skills. Benefits:Health Insurance for you. Annual Performance Bonus. Online platform with certified courses for professional development. Discounts in several categories (Gym, academic institutions, among others). Location: Hybrid –Buenos Aires, ARGIf this job description resonates with you, we encourage you to apply, even if you don’t meet all the requirements. We’re interested in getting to know you and what you bring to the table!About JLL –We’re JLL—a leading professional services and investment management firm specializing in real estate. We have operations in over 80 countries and a workforce of over 102,000 individuals around the world who help real estate owners, occupiers and investors achieve their business ambitions. As a global Fortune 500 company, we also have an inherent responsibility to drive sustainability and corporate social responsibility. That’s why we’re committed to our purpose to shape the future of real estate for a better world. We’re using the most advanced technology to create rewarding opportunities, amazing spaces and sustainable real estate solutions for our clients, our people and our communities.Our core values of teamwork, ethics and excellence are also fundamental to everything we do and we’re honored to be recognized with awards for our success by organizations both globally and locally.Creating a diverse and inclusive culture where we all feel welcomed, valued and empowered to achieve our full potential is important to who we are today and where we’re headed in the future. And we know that unique backgrounds, experiences and perspectives help us think bigger, spark innovation and succeed together.JLL Privacy NoticeJones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL’s recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.For more information about how JLL processes your personal data, please view our Candidate Privacy Statement.For additional details please see our career site pages for each country.For candidates in the United States, please see a full copy of our Equal Employment Opportunity and Affirmative Action policy here.Jones Lang LaSalle (“JLL”) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process – including the online application and/or overall selection process – you may contact us at Accommodation Requests. This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL.",Presencial,NaN,"Buenos Aires, Buenos Aires Province, Argentina","[{'Nivel de antigüedad': 'Sin experiencia'}, {'Tipo de empleo': 'Jornada completa'}, {'Función laboral': 'Tecnología de la información'}, {'Sectores': 'Bienes inmuebles no residenciales de arrendamiento'}]",2022-12-19,https://ar.linkedin.com/jobs/view/data-analyst-at-jll-3406973157?refId=HBOcuc35tdXjC1azUa3VXg%3D%3D&trackingId=T2KtsFEEZ1baY9e6o7Lfig%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
